signal,horizon_days,ic,n
EEI_raw,1,-0.0334884286185524,240
EEI_weighted,1,-0.027780864251115464,240
EEI_delta,1,-0.08503068245211677,220
EEI_trend,1,0.03597594991632058,220
confidence_score,1,-0.04619351030399832,240
analyst_skepticism,1,-0.0323065925275789,240
evasion_under_pressure,1,0.029992708206739695,240
ceo_cfo_evasion_gap,1,-0.008982918365420001,240
evasion_momentum_8q,1,0.02648316207905198,200
EEI_raw,5,-0.05634559627771314,240
EEI_weighted,5,-0.07177902394138785,240
EEI_delta,5,-0.006821703679076765,220
EEI_trend,5,0.03710632638916281,220
confidence_score,5,-0.0965884824389312,240
analyst_skepticism,5,-0.09723705780975508,240
evasion_under_pressure,5,0.04682546571989096,240
ceo_cfo_evasion_gap,5,-0.007125131914393299,240
evasion_momentum_8q,5,-0.09507987699692494,200
EEI_raw,20,0.02337193354051285,240
EEI_weighted,20,0.024541224674039474,240
EEI_delta,20,0.05813831615604379,220
EEI_trend,20,0.15265604661253332,220
confidence_score,20,-0.010810083508394241,240
analyst_skepticism,20,0.007827403028795803,240
evasion_under_pressure,20,0.04648170975190541,240
ceo_cfo_evasion_gap,20,-0.05264437246258682,240
evasion_momentum_8q,20,-0.03873546838670968,200
EEI_raw,60,-0.0011432490147398392,240
EEI_weighted,60,0.001456622510807479,240
EEI_delta,60,0.09765753988155278,220
EEI_trend,60,0.12460963693840406,220
confidence_score,60,-0.045505130297400984,240
analyst_skepticism,60,0.06317609226219212,240
evasion_under_pressure,60,0.017933471067206025,240
ceo_cfo_evasion_gap,60,-0.043078942551073855,240
evasion_momentum_8q,60,-0.06130503262581566,200
